msname,msinstanceid,nodeid,instance_cpu_usage,instance_memory_usage,timestamp
2a1f6f66d3f2fe0cd60f3a303b1bab40a2d4a9ca93eef99e2ab7588a32267145,0bb2013ae65ae98a4d20fe8b11773c7f44aa44d2dc3d7e178843864b17ead907,7b57686b5cb6f6952389a9dbf350349d3c9ca611ff0427b82e33a389c52cec96,0.1446666666616996,0.6390480995178223,0
94dce029795f9357501c763b763bf951c8290ad1744ec10872cc8a280b2b989e,19228ce6da4b17fff132ab1818ef7894836d85d3b4265c238d8ad4141ed4c342,0106404877ab18c12380838b0ea1b4ddf47ea49a53a6e1f5f8f52aa45762013d,0.18112500000279397,0.5234675407409668,0
b56048de41b6fe7fd1d9b70e636c61946ce43774fe78999ef2dcf596928e1644,a997b111a653be0cd1f7ca997aec71c4e53320fc854ec918a35f0cfe4298f993,2c2ac2d8c44e770d2d4aead63920374f00fd008a5ccf231ada013a9479bc7886,0.16287499999937913,0.8452327251434326,0
0132c76602caabd29f1019266695ff2fc1d267f00f17bdfffb9ef84b46bbe32f,5f4e2c39ca42d6c97aa5919b22ce9952d4d4e5fa5f33539353d0174480f0766f,9db3d47122fca234f418052f20ad15f9d81ebef7e7d187e0518db57ac024c4db,0.10416666666666667,0.5577940940856934,0
f7ae36bcfdce5a0ea7d5b70dbae04955899a4a67d019c0885119fc25e7213005,188d2437ae09a38e677fd75f6ef557ccfdac24e717f5b44f1193d69cc249a661,567d8021f9db157d56fb059cb807a92e8d7ffcb09a5ac0a640c8253d8c5c3d0c,0.14891666666565773,0.610527515411377,0
7ca3a5ceabba4fd9758a7d50df2ba6fce2020147c326b58bc67c9f52d32108ff,117c0f2d3748233c9c366d631adb82c1fcf3d3763c574b2507a5adf525b40a7d,c1348ed5a8d7fa00a9767ee9de68d85533d87fcfc337d0c57d0b33352f42ad49,0.17666666666627862,0.6291389465332031,0
28664e7ba60702984ae3f84d4b084785897495e3b7f28717bda80797dc5468b6,1d4464075be58dc6584c7a0c1627e6a0edc590a1633ade11c999dd7adc23d692,5c358c71b03150adafee618a7ae43edb2c830f61eefb4bb3e2f4f3150f5c2785,0.5274166666747381,0.7796683311462402,0
65ceb2782457ad9400b7668fc02d3ad3d79f86469b2be89064eb7db45c07c03f,c53463cccee5cddc9ebdbd8a3a0c158dcd44856aaa68aee9804cea8c988ff86b,235e7a9991c8434eac4c45a6127383c540f6aa3cc44b5091e2b5524817985a9a,0.35504166666263093,0.761390209197998,0
d387a1bdf8913c6540493d152e0399c2286ee037cbc2dd877521a6dfd8abb985,e6ea4850be5082395b56b442c07609ea12c0c1f0f85fd4c8c2e3373f7f11abd5,27b90499a0bda282bb319c2231664e83f47fbdc5dd170700e1bd8ccae6ddab45,0.24729166667287547,0.6399745941162109,0
3557add998c8762136da6e3a0af6489ed6425c3d91ca9e3d513dbf9d2f81e85c,552d5e3447c53e98e5f5188ca2998ac732b27664ed5d8dcdb8bd6524ced76c48,39d21d3ee986be9bd09bd7c4e84f522d763eaf208c04865d505be08e44f0f9a8,0.14012499999953434,0.6185240745544434,0
fe1c1b555b650c8a5c38d93fd204ef573e2d7f851096ef2d9b3cd630a9a77469,a6641fb4ccf4ee85611956fe1ba407b6c2010e54d6addb4749d8eb13c6c6b54c,409f0f830266666d4cc783ec0d35334497f9b5f9173eed169a85f06167efb0f6,0.08970833333247961,0.5141768455505371,0
a828cf949747f47b182e8269b324b8948f97330f6104f9d893e40a52dd62b26d,1cd51c0de8ce5e407b615a2d59b741492b84039ef46b02e43dc4d2fe43cd645b,f900db9b3717d6217121336e665fff4cc85c063ffecc7e4888dfa946c7fbc212,0.2677291666700815,0.6496021747589111,0
